filename,width,height,class,xmin,ymin,xmax,ymax
merge_1323803242_avi_image0.jpg,704,480,merge,167,14,231,73
stop_1323804393_avi_image20.jpg,704,480,stop,304,60,328,84
speedLimit_1323822345_avi_image1.jpg,704,480,speedLimit45,438,259,466,293
stop_1323821112_avi_image21.jpg,704,480,stop,503,259,553,308
signalAhead_1323817542_avi_image14.jpg,704,480,signalAhead,577,239,626,280
signalAhead_1323823886_avi_image0.jpg,704,480,signalAhead,363,197,403,239
signalAhead_1323804241_avi_image9.jpg,704,480,signalAhead,589,30,627,65
signalAhead_1323824604_avi_image4.jpg,704,480,signalAhead,38,127,113,199
stop_1323816483_avi_image20.jpg,704,480,stop,426,289,446,308
stop_1323820702_avi_image6.jpg,704,480,stop,409,276,441,307
merge_1323821565_avi_image7.jpg,704,480,merge,557,242,588,277
speedLimit_1323824118_avi_image5.jpg,704,480,speedLimit45,559,172,580,195
speedLimit_1323804376_avi_image8.jpg,704,480,speedLimit25,552,31,575,61
addedLane_1323820177_avi_image7.jpg,704,480,addedLane,16,238,88,304
yield_1323813350_avi_image2.jpg,704,480,yield,562,205,592,229
stop_1323816448_avi_image21.jpg,704,480,stop,348,275,386,309
stop_1323819316_avi_image3.jpg,704,480,stop,456,257,492,290
stop_1323822759_avi_image0.jpg,704,480,stop,39,212,60,234
stop_1323822577_avi_image9.jpg,704,480,stop,383,280,408,305
stop_1323822794_avi_image2.jpg,704,480,stop,216,166,254,204
speedLimit_1323821504_avi_image25.jpg,704,480,speedLimit50,512,238,559,289
stop_1323817842_avi_image12.jpg,704,480,stop,457,280,482,304
speedLimit_1323822628_avi_image10.jpg,704,480,speedLimit25,395,278,418,302
signalAhead_1323819428_avi_image3.jpg,704,480,signalAhead,461,235,509,283
stop_1323803184_avi_image12.jpg,704,480,stop,549,27,576,52
signalAhead_1323896726_avi_image16.jpg,640,480,signalAhead,400,221,426,247
speedLimit_1323813035_avi_image1.jpg,704,480,schoolSpeedLimit25,485,218,504,251
speedLimit_1323822919_avi_image12.jpg,704,480,speedLimit35,553,180,585,215
speedLimit_1323824699_avi_image2.jpg,704,480,speedLimit35,459,109,495,151
stop_1323803184_avi_image19.jpg,704,480,stop,585,13,617,44
signalAhead_1323817352_avi_image2.jpg,704,480,signalAhead,308,309,327,327
speedLimit_1323803263_avi_image7.jpg,704,480,speedLimit65,556,7,609,66
speedLimit_1323822628_avi_image17.jpg,704,480,speedLimit25,501,253,531,286
yield_1323816786_avi_image14.jpg,704,480,yield,350,272,377,297
signalAhead_1323896726_avi_image11.jpg,640,480,signalAhead,394,228,416,249
signalAhead_1323817542_avi_image16.jpg,704,480,signalAhead,90,252,140,298
stop_1323822870_avi_image9.jpg,704,480,stop,607,147,662,201
stop_1323817816_avi_image16.jpg,704,480,stop,458,223,506,267
pedestrian_1323822718_avi_image3.jpg,704,480,pedestrianCrossing,470,206,492,237
signalAhead_1323816708_avi_image23.jpg,704,480,signalAhead,458,214,540,291
merge_1323817276_avi_image23.jpg,704,480,merge,488,227,557,292
stop_1323803184_avi_image16.jpg,704,480,stop,568,20,597,48
speedLimit_1323813042_avi_image6.jpg,704,480,schoolSpeedLimit25,448,238,461,249
speedLimit_1323822290_avi_image8.jpg,704,480,speedLimit50,317,294,334,313
speedLimit_1323823940_avi_image3.jpg,704,480,speedLimit40,559,212,577,232
speedLimit_1323822937_avi_image2.jpg,704,480,speedLimitUrdbl,382,170,400,192
stop_1323804359_avi_image14.jpg,704,480,stop,142,45,166,67
merge_1323816805_avi_image5.jpg,704,480,merge,98,195,179,289
stop_1323816483_avi_image10.jpg,704,480,stop,389,321,401,332
stop_1323820728_avi_image10.jpg,704,480,stop,552,244,605,294
yield_1323816786_avi_image5.jpg,704,480,yield,486,273,504,289
stop_1323819316_avi_image8.jpg,704,480,stop,525,214,578,261
yield_1323813350_avi_image4.jpg,704,480,yield,581,188,617,216
stop_1323822602_avi_image13.jpg,704,480,stop,454,268,480,294
speedLimit_1323824718_avi_image5.jpg,704,480,speedLimit35,421,188,441,212
signalAhead_1323820257_avi_image11.jpg,704,480,signalAhead,515,234,584,301
stop_1323804592_avi_image12.jpg,704,480,stop,436,10,473,45
speedLimit_1323822290_avi_image10.jpg,704,480,speedLimit50,317,294,334,313
pedestrian_1323822805_avi_image12.jpg,704,480,pedestrianCrossing,434,191,475,231
speedLimit_1323822228_avi_image0.jpg,704,480,speedLimit55,86,208,140,269
